question,sql
How many artists are there?,SELECT COUNT(*) FROM `artist`
Count the number of artists.,SELECT COUNT(*) FROM `artist`
List the age of all music artists.,SELECT `Age` FROM `artist`
What are the ages of all music artists?,SELECT `Age` FROM `artist`
What is the average age of all artists?,SELECT AVG(`Age`) FROM `artist`
Return the average age across all artists.,SELECT AVG(`Age`) FROM `artist`
"What are the famous titles of the artist ""Triumfall""?",SELECT `Famous_Title` FROM `artist` WHERE `Artist` = `Triumfall`
"Return the famous titles of the artist called ""Triumfall"".",SELECT `Famous_Title` FROM `artist` WHERE `Artist` = `Triumfall`
What are the distinct Famous release dates?,SELECT DISTINCT (`Famous_Release_date`) FROM `artist`
Give the distinct famous release dates for all artists.,SELECT DISTINCT (`Famous_Release_date`) FROM `artist`
Return the dates of ceremony and the results of all music festivals,"SELECT `Date_of_ceremony`, `RESULT` FROM `music_festival`"
What are the dates of ceremony and results for each music festival?,"SELECT `Date_of_ceremony`, `RESULT` FROM `music_festival`"
"What are the category of music festivals with result ""Awarded""?",SELECT `Category` FROM `music_festival` WHERE `RESULT` = `Awarded`
"Return the categories of music festivals that have the result ""Awarded"".",SELECT `Category` FROM `music_festival` WHERE `RESULT` = `Awarded`
What are the maximum and minimum week on top of all volumes?,"SELECT MAX(`Weeks_on_Top`), MIN(`Weeks_on_Top`) FROM `volume`"
Give the maximum and minimum weeks on top across all volumes.,"SELECT MAX(`Weeks_on_Top`), MIN(`Weeks_on_Top`) FROM `volume`"
What are the songs in volumes with more than 1 week on top?,SELECT `Song` FROM `volume` WHERE `Weeks_on_Top` > 1
Give the songs included in volumes that have more than 1 week on top.,SELECT `Song` FROM `volume` WHERE `Weeks_on_Top` > 1
Please list all songs in volumes in ascending alphabetical order.,SELECT `Song` FROM `volume` ORDER BY `Song`
"What are the the songs in volumes, listed in ascending order?",SELECT `Song` FROM `volume` ORDER BY `Song`
How many distinct artists do the volumes associate to?,SELECT COUNT(DISTINCT `Artist_ID`) FROM `volume`
Count the number of distinct artists who have volumes.,SELECT COUNT(DISTINCT `Artist_ID`) FROM `volume`
Please show the date of ceremony of the volumes that last more than 2 weeks on top.,SELECT `T1`.`Date_of_ceremony` FROM `music_festival` AS `T1` JOIN `volume` AS `T2` ON `T1`.`Volume` = `T2`.`Volume_ID` WHERE `T2`.`Weeks_on_Top` > 2
